master_id,total_order,total_value,avg_order_value,cltv,cltv_score,cltv_segment
6fcc04d0-3050-11ea-bb28-000d3a38a36f,6.0,805.4000000000001,134.23333333333335,805.4000000000001,0.016581291108701855,B
eb648a26-a56e-11e9-a2fc-000d3a38a36f,10.0,2038.65,203.865,2038.65,0.04347284743258414,A
8423eda8-ae37-11e9-a2fc-000d3a38a36f,5.0,1281.3600000000001,256.27200000000005,1281.3600000000001,0.026959807344594827,A
af94d3c0-b199-11e9-89fa-000d3a38a36f,2.0,201.3,100.65,201.3,0.0034086260568005496,D
7d58deb6-62fa-11ea-a6dc-000d3a38a36f,8.0,1371.45,171.43125,1371.45,0.02892425924746817,A
45beaf52-add9-11e9-a2fc-000d3a38a36f,7.0,790.87,112.98142857142857,790.87,0.016264458095617718,B
56ddd00a-aff6-11e9-9757-000d3a38a36f,2.0,273.85,136.925,273.85,0.004990610578428492,D
a5fc6ee6-a257-11e9-a2fc-000d3a38a36f,3.0,700.78,233.59333333333333,700.78,0.014300006192744373,B
b4f0a6e6-ae60-11e9-a2fc-000d3a38a36f,13.0,1633.45,125.65,1633.45,0.03463728398442918,A
af28d808-9750-11ea-a9c8-000d3a38a36f,3.0,550.38,183.46,550.38,0.011020468328473629,B
6d57890e-9f67-11eb-9c47-000d3a38a36f,2.0,283.23,141.615,283.23,0.005195145586186866,D
7bb4c782-a450-11e9-a2fc-000d3a38a36f,13.0,1136.8,87.44615384615385,1136.8,0.0238076132378197,A
4a1ecbbc-5271-11ea-956d-000d3a38a36f,4.0,444.95000000000005,111.23750000000001,444.95000000000005,0.00872152100779501,C
d8f47744-a595-11e9-a2fc-000d3a38a36f,10.0,1461.75,146.175,1461.75,0.030893290292306256,A
2c5e69e8-ae6b-11e9-a2fc-000d3a38a36f,9.0,1512.39,168.04333333333335,1512.39,0.03199751766894636,A
0efc89ac-9f16-11e9-9897-000d3a38a36f,5.0,846.35,169.27,846.35,0.017474223791826102,B
8c92d204-1eb4-11ea-aa32-000d3a38a36f,6.0,654.6,109.10000000000001,654.6,0.013293031069260178,B
bfc40df8-3068-11ea-bb28-000d3a38a36f,4.0,321.95,80.4875,321.95,0.006039452142733163,D
de493b6c-a35b-11e9-a2fc-000d3a38a36f,2.0,229.98000000000002,114.99000000000001,229.98000000000002,0.004034006016556433,D
808005da-a511-11e9-a2fc-000d3a38a36f,8.0,1298.84,162.355,1298.84,0.027340966399564588,A
cae701dc-d621-11e9-93bc-000d3a38a36f,2.0,139.98,69.99,139.98,0.0020715166030965465,D
acff824a-1dc3-11ea-8bf2-000d3a38a36f,6.0,579.94,96.65666666666668,579.94,0.011665037073605567,B
4e24ed86-9e9e-11e9-9897-000d3a38a36f,4.0,515.9399999999999,128.98499999999999,515.9399999999999,0.010269489046256311,C
bac9d616-a837-11e9-a2fc-000d3a38a36f,3.0,667.97,222.65666666666667,667.97,0.013584569774348609,B
4e18b218-5650-11ea-b9b9-000d3a38a36f,5.0,591.12,118.224,591.12,0.011908821869633138,B
